Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
539,1,1,DRY,INSPECTION,58,5
540,1,1,DRY,INSPECTION,55,5
541,1,1,DRY,INSPECTION,55,5
542,1,1,DRY,INSPECTION,58,5
543,1,1,DRY,INSPECTION,55,5
544,2,1,DRY,CLASE B-C,56,5
545,2,1,DRY,INSPECTION,56,5
546,2,2,DRY,INSPECTION,47,5
547,2,1,DRY,CLASE B-C,56,5
548,2,1,DRY,INSPECTION,56,5
549,2,1,DRY,INSPECTION,56,5
550,2,1,DRY,INSPECTION,57,5
551,4,2,DRY,CLASE B-C,61,5
552,4,2,DRY,CLASE B-C,61,5
553,4,2,DRY,CLASE B-C,62,5
554,4,2,DRY,CLASE B-C,62,5
555,4,2,DRY,CLASE B-C,63,5
556,4,2,DRY,CLASE B-C,63,5
557,4,2,DRY,CLASE B-C,61,5
558,4,2,DRY,CLASE B-C,61,5
559,4,2,DRY,CLASE B-C,63,5
560,4,2,DRY,CLASE B-C,61,5
561,4,2,DRY,CLASE B-C,61,5
562,4,2,DRY,CLASE B-C,61,5
563,4,2,DRY,CLASE B-C,62,5
564,4,2,DRY,CLASE B-C,62,5
565,4,2,DRY,CLASE B-C,62,5
566,4,2,DRY,CLASE B-C,62,5
567,4,2,DRY,CLASE B-C,61,5
568,4,2,DRY,CLASE B-C,61,5
569,6,2,RF,CLASE B-C,50,5
570,1,2,DRY,CLASE B-C,50,5
571,1,2,DRY,CLASE B-C,42,5
572,1,2,DRY,CLASE B-C,49,5
573,1,2,DRY,CLASE B-C,49,5
574,1,2,DRY,CLASE B-C,50,5
575,2,2,DRY,CLASE B-C,53,5
576,2,1,DRY,INSPECTION,48,5
577,2,1,DRY,INSPECTION,50,5
578,2,1,DRY,INSPECTION,51,5
579,2,1,DRY,INSPECTION,51,5
580,2,1,DRY,INSPECTION,51,5
581,2,2,DRY,INSPECTION,49,5
582,2,2,DRY,INSPECTION,43,5
583,2,2,DRY,INSPECTION,49,5
584,2,1,DRY,INSPECTION,50,5
585,2,1,DRY,INSPECTION,49,5
586,2,1,DRY,INSPECTION,51,5
587,2,2,DRY,INSPECTION,45,5
588,2,2,DRY,INSPECTION,54,5
589,2,1,DRY,INSPECTION,50,5
590,2,2,DRY,INSPECTION,55,5
591,2,1,DRY,INSPECTION,50,5
592,2,1,DRY,INSPECTION,50,5
593,2,2,DRY,INSPECTION,43,5
594,7,2,RF,CLASE B-C,51,5
595,7,2,RF,CLASE B-C,53,5
596,7,2,RF,CLASE B-C,51,5
597,7,2,RF,CLASE B-C,51,5
598,3,2,DRY,CLASE B-C,49,5
599,1,2,DRY,CLASE B-C,50,5
600,1,2,DRY,CLASE B-C,50,5
601,1,2,DRY,CLASE B-C,50,5
602,2,2,DRY,INSPECTION,48,5
603,2,2,DRY,INSPECTION,43,5
604,2,2,DRY,INSPECTION,48,5
605,2,1,DRY,INSPECTION,41,5
606,2,2,DRY,INSPECTION,48,5
607,2,2,DRY,INSPECTION,48,5
608,2,1,DRY,INSPECTION,41,5
609,2,1,DRY,INSPECTION,42,5
610,2,1,DRY,INSPECTION,41,5
611,2,2,DRY,INSPECTION,47,5
612,1,1,DRY,INSPECTION,34,5
613,6,2,DRY,CLASE B-C,44,5
614,6,2,DRY,CLASE B-C,44,5
615,6,2,DRY,CLASE B-C,44,5
616,6,2,RF,CLASE B-C,37,5
617,6,2,DRY,CLASE B-C,44,5
618,6,2,DRY,CLASE B-C,44,5
619,6,2,DRY,CLASE B-C,44,5
620,6,2,RF,CLASE B-C,37,5
621,6,2,RF,CLASE B-C,37,5
622,6,2,RF,CLASE B-C,37,5
623,6,2,DRY,CLASE B-C,44,5
624,6,2,DRY,CLASE B-C,1,5
625,6,2,RF,CLASE B-C,40,5
626,4,2,DRY,INSPECTION,45,5
627,2,1,DRY,INSPECTION,34,5
628,2,2,DRY,CLASE B-C,31,5
629,2,2,DRY,CLASE B-C,40,5
630,2,1,DRY,INSPECTION,34,5
631,2,2,DRY,INSPECTION,31,5
632,2,2,DRY,INSPECTION,40,5
633,2,2,DRY,INSPECTION,31,5
634,2,1,DRY,INSPECTION,37,5
635,2,2,DRY,INSPECTION,33,5
636,2,2,DRY,INSPECTION,39,5
637,2,1,DRY,INSPECTION,34,5
